,Unnamed: 0_x,state,age,state_name,Unnamed: 0_y,lat,lng,males,females
0,0,AK,33.5625,Alaska,27,61.218056,-149.9002806,25,8
1,1,AL,33.704,Alabama,18,34.266641,-86.1995994934882,228,42
2,2,AR,34.247933884297524,Arkansas,22,35.4953205,-94.2336577705188,110,23
3,3,AZ,35.98245614035088,Arizona,13,33.3417137,-111.984033,208,40
4,4,CA,32.63250366032211,California,7,38.1746398,-121.2785588,1281,160
5,5,CO,35.625,Colorado,10,39.8714085,-104.2701374,106,39
6,6,CT,26.590476190476192,Connecticut,33,41.8731532,-72.1214653,83,27
7,7,DC,32.89795918367347,Dist. of Columbia,50,38.8951148,-77.0363716,96,8
8,8,DE,35.875,Delaware,31,39.81542705,-75.4910163200517,33,8
9,9,FL,35.619942196531795,Florida,29,28.741245,-81.53442926981859,633,136
10,10,GA,34.51304347826087,Georgia,9,34.0659329,-84.6768796,316,70
11,11,HI,40.38461538461539,Hawaii,43,19.3453191,-154.9804739,7,6
12,12,IA,32.627450980392155,Iowa,21,43.0699663,-94.233019,47,9
13,13,ID,34.48148148148148,Idaho,44,43.615046,-116.2044429,23,5
14,14,IL,29.663366336633665,Illinois,23,38.589773,-90.1201087,552,63
15,15,IN,31.103125,Indiana,28,40.1053196,-85.6802541,296,43
16,16,KS,32.23232323232323,Kansas,36,37.6866844,-96.9767024,90,21
17,17,KY,36.40236686390533,Kentucky,24,37.3809251,-83.3821253,139,39
18,18,LA,30.81377551020408,Louisiana,0,29.9746502,-92.1342921,369,51
19,19,MA,30.865168539325843,Massachusetts,34,41.9250996,-71.3494994,87,11
20,20,MD,29.933962264150946,Maryland,2,39.5095556,-76.1641197,295,35
21,21,ME,46.03846153846154,Maine,42,43.4925843,-70.4533844,21,5
22,22,MI,33.17633410672854,Michigan,17,42.37090955,-83.0771189635487,409,77
23,23,MN,34.91919191919192,Minnesota,41,47.976307,-94.8402433272128,91,14
24,24,MO,32.9277108433735,Missouri,11,37.1044958,-89.9106494,292,59
25,25,MS,33.252100840336134,Mississippi,38,31.4965591,-89.7395195,110,29
26,26,MT,38.36666666666667,Montana,6,45.5204982,-109.4429444,31,1
27,27,NC,34.110837438423644,North Carolina,3,35.131547,-79.4294789,359,79
28,28,ND,36.85714285714285,North Dakota,40,48.8391769,-99.7448737,7,1
29,29,NE,33.01851851851852,Nebraska,39,41.9994496,-97.5983892,48,6
30,30,NH,29.846153846153847,New Hampshire,49,42.9125877,-71.124504,13,1
31,31,NJ,30.419475655430716,New Jersey,32,40.2203907,-74.0120817,252,25
32,32,NM,35.81818181818182,New Mexico,19,35.0877555,-106.737170962904,69,19
33,33,NV,37.00892857142857,Nevada,45,35.9785912,-114.8324851,99,22
34,34,NY,33.38095238095238,New York,15,42.6511674,-73.754968,329,49
35,35,OH,31.623404255319148,Ohio,14,41.0814447,-81.5190053,421,74
36,36,OK,33.765060240963855,Oklahoma,26,35.072562,-98.2436626,148,35
37,37,OR,39.3875,Oregon,16,44.6365071,-123.1059324,66,19
38,38,PA,33.45065176908752,Pennsylvania,8,40.1103542,-79.0689168,492,77
39,39,RI,33.76,Rhode Island,48,41.9667656,-71.4328363,19,6
40,40,SC,36.08,South Carolina,1,34.1781719,-82.3790148,176,59
41,41,SD,32.875,South Dakota,4,45.4646985,-98.4864829,16,1
42,42,TN,33.14229249011858,Tennessee,20,35.7895271,-83.9737935,237,48
43,43,TX,34.534441805225654,Texas,5,32.4838865,-99.7156495680329,806,176
44,44,UT,38.33962264150944,Utah,25,40.3768954,-111.7957645,41,13
45,45,VA,35.191570881226056,Virginia,12,38.0323598,-78.839189,234,46
46,46,VT,45.0,Vermont,46,44.4723989,-73.2114941,11,4
47,47,WA,34.40944881889764,Washington,35,47.3073905,-122.229805,126,17
48,48,WI,32.325,Wisconsin,30,44.2611337,-88.4067604,138,28
49,49,WV,41.56140350877193,West Virginia,37,38.4095298,-82.2945923,56,9
50,50,WY,38.8125,Wyoming,47,42.866632,-106.313081,10,6
